lon	lat	pop	x_idx	y_idx
-87.7566879188	41.973008848	1310	0	0
-87.7536637563	41.973008848	464	1	0
-87.7506395939	41.973008848	566	2	0
-87.7476154314	41.973008848	115	3	0
-87.744591269	41.973008848	296	4	0
-87.7415671065	41.973008848	386	5	0
-87.7385429441	41.973008848	441	6	0
-87.7355187816	41.973008848	634	7	0
-87.7324946191	41.973008848	246	8	0
-87.7294704567	41.973008848	69	9	0
-87.7264462942	41.973008848	1233	10	0
-87.7234221318	41.973008848	538	11	0
-87.7203979693	41.973008848	612	12	0
-87.7173738069	41.973008848	556	13	0
-87.7143496444	41.973008848	1189	14	0
-87.711325482	41.973008848	876	15	0
-87.7083013195	41.973008848	1089	16	0
-87.7052771571	41.973008848	172	17	0
-87.7022529946	41.973008848	60	18	0
-87.6992288322	41.973008848	359	19	0
-87.6962046697	41.973008848	1358	20	0
-87.6931805072	41.973008848	861	21	0
-87.6901563448	41.973008848	914	22	0
-87.6871321823	41.973008848	918	23	0
-87.6841080199	41.973008848	698	24	0
-87.6810838574	41.973008848	94	25	0
-87.678059695	41.973008848	1566	26	0
-87.6750355325	41.973008848	425	27	0
-87.6720113701	41.973008848	1302	28	0
-87.6689872076	41.973008848	871	29	0
-87.6659630452	41.973008848	1450	30	0
-87.6629388827	41.973008848	2008	31	0
-87.6599147203	41.973008848	77	32	0
-87.6568905578	41.973008848	2587	33	0
-87.6538663953	41.973008848	3910	34	0
-87.6508422329	41.973008848	1656	35	0
-87.6478180704	41.973008848	0	36	0
-87.644793908	41.973008848	0	37	0
-87.6417697455	41.973008848	0	38	0
-87.6387455831	41.973008848	0	39	0
-87.6357214206	41.973008848	0	40	0
-87.7566879188	41.970760544	593	0	1
-87.7536637563	41.970760544	334	1	1
-87.7506395939	41.970760544	308	2	1
-87.7476154314	41.970760544	302	3	1
-87.744591269	41.970760544	303	4	1
-87.7415671065	41.970760544	782	5	1
-87.7385429441	41.970760544	348	6	1
-87.7355187816	41.970760544	241	7	1
-87.7324946191	41.970760544	409	8	1
-87.7294704567	41.970760544	475	9	1
-87.7264462942	41.970760544	647	10	1
-87.7234221318	41.970760544	590	11	1
-87.7203979693	41.970760544	806	12	1
-87.7173738069	41.970760544	768	13	1
-87.7143496444	41.970760544	755	14	1
-87.711325482	41.970760544	677	15	1
-87.7083013195	41.970760544	1024	16	1
-87.7052771571	41.970760544	1381	17	1
-87.7022529946	41.970760544	242	18	1
-87.6992288322	41.970760544	398	19	1
-87.6962046697	41.970760544	954	20	1
-87.6931805072	41.970760544	702	21	1
-87.6901563448	41.970760544	370	22	1
-87.6871321823	41.970760544	670	23	1
-87.6841080199	41.970760544	805	24	1
-87.6810838574	41.970760544	662	25	1
-87.678059695	41.970760544	1239	26	1
-87.6750355325	41.970760544	633	27	1
-87.6720113701	41.970760544	882	28	1
-87.6689872076	41.970760544	575	29	1
-87.6659630452	41.970760544	280	30	1
-87.6629388827	41.970760544	294	31	1
-87.6599147203	41.970760544	226	32	1
-87.6568905578	41.970760544	2069	33	1
-87.6538663953	41.970760544	988	34	1
-87.6508422329	41.970760544	439	35	1
-87.6478180704	41.970760544	0	36	1
-87.644793908	41.970760544	0	37	1
-87.6417697455	41.970760544	0	38	1
-87.6387455831	41.970760544	0	39	1
-87.6357214206	41.970760544	0	40	1
-87.7566879188	41.96851224	143	0	2
-87.7536637563	41.96851224	298	1	2
-87.7506395939	41.96851224	306	2	2
-87.7476154314	41.96851224	176	3	2
-87.744591269	41.96851224	238	4	2
-87.7415671065	41.96851224	375	5	2
-87.7385429441	41.96851224	618	6	2
-87.7355187816	41.96851224	547	7	2
-87.7324946191	41.96851224	717	8	2
-87.7294704567	41.96851224	363	9	2
-87.7264462942	41.96851224	1191	10	2
-87.7234221318	41.96851224	1175	11	2
-87.7203979693	41.96851224	862	12	2
-87.7173738069	41.96851224	1004	13	2
-87.7143496444	41.96851224	591	14	2
-87.711325482	41.96851224	771	15	2
-87.7083013195	41.96851224	989	16	2
-87.7052771571	41.96851224	1022	17	2
-87.7022529946	41.96851224	81	18	2
-87.6992288322	41.96851224	310	19	2
-87.6962046697	41.96851224	891	20	2
-87.6931805072	41.96851224	678	21	2
-87.6901563448	41.96851224	696	22	2
-87.6871321823	41.96851224	126	23	2
-87.6841080199	41.96851224	559	24	2
-87.6810838574	41.96851224	420	25	2
-87.678059695	41.96851224	374	26	2
-87.6750355325	41.96851224	97	27	2
-87.6720113701	41.96851224	482	28	2
-87.6689872076	41.96851224	142	29	2
-87.6659630452	41.96851224	628	30	2
-87.6629388827	41.96851224	1011	31	2
-87.6599147203	41.96851224	488	32	2
-87.6568905578	41.96851224	573	33	2
-87.6538663953	41.96851224	1388	34	2
-87.6508422329	41.96851224	1770	35	2
-87.6478180704	41.96851224	1	36	2
-87.644793908	41.96851224	0	37	2
-87.6417697455	41.96851224	0	38	2
-87.6387455831	41.96851224	0	39	2
-87.6357214206	41.96851224	0	40	2
-87.7566879188	41.9662639359	634	0	3
-87.7536637563	41.9662639359	230	1	3
-87.7506395939	41.9662639359	304	2	3
-87.7476154314	41.9662639359	0	3	3
-87.744591269	41.9662639359	618	4	3
-87.7415671065	41.9662639359	511	5	3
-87.7385429441	41.9662639359	411	6	3
-87.7355187816	41.9662639359	651	7	3
-87.7324946191	41.9662639359	445	8	3
-87.7294704567	41.9662639359	504	9	3
-87.7264462942	41.9662639359	930	10	3
-87.7234221318	41.9662639359	906	11	3
-87.7203979693	41.9662639359	1732	12	3
-87.7173738069	41.9662639359	2168	13	3
-87.7143496444	41.9662639359	593	14	3
-87.711325482	41.9662639359	1280	15	3
-87.7083013195	41.9662639359	848	16	3
-87.7052771571	41.9662639359	1369	17	3
-87.7022529946	41.9662639359	290	18	3
-87.6992288322	41.9662639359	196	19	3
-87.6962046697	41.9662639359	424	20	3
-87.6931805072	41.9662639359	325	21	3
-87.6901563448	41.9662639359	340	22	3
-87.6871321823	41.9662639359	400	23	3
-87.6841080199	41.9662639359	708	24	3
-87.6810838574	41.9662639359	398	25	3
-87.678059695	41.9662639359	550	26	3
-87.6750355325	41.9662639359	193	27	3
-87.6720113701	41.9662639359	590	28	3
-87.6689872076	41.9662639359	471	29	3
-87.6659630452	41.9662639359	410	30	3
-87.6629388827	41.9662639359	987	31	3
-87.6599147203	41.9662639359	967	32	3
-87.6568905578	41.9662639359	669	33	3
-87.6538663953	41.9662639359	1701	34	3
-87.6508422329	41.9662639359	1031	35	3
-87.6478180704	41.9662639359	0	36	3
-87.644793908	41.9662639359	0	37	3
-87.6417697455	41.9662639359	0	38	3
-87.6387455831	41.9662639359	0	39	3
-87.6357214206	41.9662639359	0	40	3
-87.7566879188	41.9640156319	517	0	4
-87.7536637563	41.9640156319	275	1	4
-87.7506395939	41.9640156319	129	2	4
-87.7476154314	41.9640156319	0	3	4
-87.744591269	41.9640156319	92	4	4
-87.7415671065	41.9640156319	252	5	4
-87.7385429441	41.9640156319	295	6	4
-87.7355187816	41.9640156319	422	7	4
-87.7324946191	41.9640156319	466	8	4
-87.7294704567	41.9640156319	731	9	4
-87.7264462942	41.9640156319	451	10	4
-87.7234221318	41.9640156319	184	11	4
-87.7203979693	41.9640156319	617	12	4
-87.7173738069	41.9640156319	1100	13	4
-87.7143496444	41.9640156319	492	14	4
-87.711325482	41.9640156319	1257	15	4
-87.7083013195	41.9640156319	700	16	4
-87.7052771571	41.9640156319	775	17	4
-87.7022529946	41.9640156319	254	18	4
-87.6992288322	41.9640156319	243	19	4
-87.6962046697	41.9640156319	441	20	4
-87.6931805072	41.9640156319	381	21	4
-87.6901563448	41.9640156319	350	22	4
-87.6871321823	41.9640156319	481	23	4
-87.6841080199	41.9640156319	398	24	4
-87.6810838574	41.9640156319	307	25	4
-87.678059695	41.9640156319	306	26	4
-87.6750355325	41.9640156319	420	27	4
-87.6720113701	41.9640156319	475	28	4
-87.6689872076	41.9640156319	444	29	4
-87.6659630452	41.9640156319	441	30	4
-87.6629388827	41.9640156319	886	31	4
-87.6599147203	41.9640156319	484	32	4
-87.6568905578	41.9640156319	17	33	4
-87.6538663953	41.9640156319	1576	34	4
-87.6508422329	41.9640156319	2454	35	4
