lon	lat	pop	x_idx	y_idx
-87.7167282599	41.8230362663	0	0	0
-87.7137847796	41.8230362663	468	1	0
-87.7108412993	41.8230362663	751	2	0
-87.7078978191	41.8230362663	780	3	0
-87.7049543388	41.8230362663	539	4	0
-87.7020108586	41.8230362663	1184	5	0
-87.6990673783	41.8230362663	1249	6	0
-87.696123898	41.8230362663	585	7	0
-87.6931804178	41.8230362663	1157	8	0
-87.6902369375	41.8230362663	278	9	0
-87.6872934573	41.8230362663	757	10	0
-87.684349977	41.8230362663	102	11	0
-87.6814064967	41.8230362663	278	12	0
-87.6784630165	41.8230362663	0	13	0
-87.6755195362	41.8230362663	322	14	0
-87.672576056	41.8230362663	1028	15	0
-87.6696325757	41.8230362663	933	16	0
-87.6666890954	41.8230362663	707	17	0
-87.6637456152	41.8230362663	0	18	0
-87.6608021349	41.8230362663	0	19	0
-87.6578586547	41.8230362663	0	20	0
-87.6549151744	41.8230362663	0	21	0
-87.6519716941	41.8230362663	9	22	0
-87.6490282139	41.8230362663	0	23	0
-87.6460847336	41.8230362663	229	24	0
-87.6431412534	41.8230362663	708	25	0
-87.6401977731	41.8230362663	789	26	0
-87.6372542928	41.8230362663	291	27	0
-87.6343108126	41.8230362663	396	28	0
-87.6313673323	41.8230362663	292	29	0
-87.6284238521	41.8230362663	417	30	0
-87.6254803718	41.8230362663	299	31	0
-87.6225368915	41.8230362663	516	32	0
-87.6195934113	41.8230362663	307	33	0
-87.616649931	41.8230362663	257	34	0
-87.6137064508	41.8230362663	290	35	0
-87.6107629705	41.8230362663	658	36	0
-87.6078194902	41.8230362663	533	37	0
-87.60487601	41.8230362663	490	38	0
-87.6019325297	41.8230362663	619	39	0
-87.5989890495	41.8230362663	0	40	0
-87.7167282599	41.820842799	0	0	1
-87.7137847796	41.820842799	0	1	1
-87.7108412993	41.820842799	0	2	1
-87.7078978191	41.820842799	0	3	1
-87.7049543388	41.820842799	35	4	1
-87.7020108586	41.820842799	841	5	1
-87.6990673783	41.820842799	659	6	1
-87.696123898	41.820842799	462	7	1
-87.6931804178	41.820842799	248	8	1
-87.6902369375	41.820842799	774	9	1
-87.6872934573	41.820842799	336	10	1
-87.684349977	41.820842799	90	11	1
-87.6814064967	41.820842799	0	12	1
-87.6784630165	41.820842799	0	13	1
-87.6755195362	41.820842799	0	14	1
-87.672576056	41.820842799	0	15	1
-87.6696325757	41.820842799	3	16	1
-87.6666890954	41.820842799	0	17	1
